Time,Source,Destination,Protocol,Status
14:32:12,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:12,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:12,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:12,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:13,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:13,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:18,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:18,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:18,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:18,34.97.218.27,10.78.150.79,6,✅ Normal
14:32:18,10.78.150.79,34.97.218.27,6,✅ Normal
14:32:23,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:23,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:23,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:23,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:23,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:23,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:23,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:23,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:23,20.50.73.10,10.78.150.79,6,✅ Normal
